city,profession,salary,company
北京,Python,15,金风科技
北京,Python,15,深信服科技
北京,Python,20,boringkillerltd
北京,Python,15,中睿天下
北京,python,11,武汉佰钧成
北京,Python⼯程师,10,文思海辉
北京,Python,20,aibee
北京,python工程师,30,58到家
北京,Python,25,映客直播
北京,Python工程师,10,软通动力
北京,Python,13,掌阅科技
北京,Python开发工程师,10,文思海辉
北京,python,15,美洽
北京,Python工程师,20,360金融
北京,Python,8,乐博乐博机器人
北京,python工程师,15,长扬科技
北京,Python,30,阿里巴巴集团
北京,python后台开发,20,小米
北京,Python高级工程师,20,奇安信集团
北京,Python兼职讲师,10,数学家
北京,Python工程师,12,雨辰视美
北京,Python研发工程师,20,腾讯
北京,Python工程师,12,雨辰视美
北京,Python高级开发,20,阿里巴巴集团
北京,Python,15,京东集团
北京,python,15,渊亭科技
北京,Python开发工程师,13,法本信息
北京,Python讲师,20,北网
北京,Python开发工程师,18,物美集团
北京,python开发讲师,10,华清远见
北京,Python运维开发工程师,15,有利网
北京,python工程师,15,芸品绿
北京,python助理讲师,9,达内集团
北京,实习-Python研发,2,绿盟科技
北京,Python,8,合胜科技
北京,Python开发,10,金泰亚盛
北京,Python,15,安知信息
北京,Python开发,7,诚迈科技
北京,Python后端工程师,18,环嘉集团
北京,Python讲师,15,百知教育
北京,后端架构师（Python）,18,中建材信息
北京,python开发工程师,15,水木梧桐创业投资
北京,Python研发工程师,13,颐邦科技(ebond)
北京,Python开发工程师,10,多牛传媒
北京,python,12,车势科技
北京,Python爬虫工程师,8,轩辕传媒
北京,Python工程师,10,北京雷石
北京,Python讲师,12,猿辅导
北京,python后台工程师,20,混沌研习社
北京,Python工程师,10,数据堂
北京,Python研发工程师,5,东信北邮
北京,python,20,茂逊
北京,Python后端开发,15,互影
北京,"云解决方案售前架构师（Java, Python）",18,甲骨文
北京,Python工程师(深度学习方向),25,探境科技
北京,python工程师,20,京东集团
北京,python研发工程师,20,lbe tech
北京,Python开发工程师,25,旷视科技
北京,python研发工程师,15,云端智度
北京,Python工程师,13,博乐科技
北京,Python工程师,15,聚齐众兴网络
北京,资深Python工程师,25,lbe tech
北京,Python后端研发工程师,20,lbe tech
北京,python工程师,15,长扬科技
北京,Go/python--视频处理,23,一点资讯
北京,Python开发工程师,12,网宿科技
北京,资深Python 开发工程师,30,网易
