abandon/ ə’bændən/ vt.丢弃；放弃，抛弃
aboard/ ə’bɔ:d/ ad.在船(车)上；上船
absolute/ ‘æbsəlu:t/ a.绝对的；纯粹的
absolutely/ ‘æbsəlu:tli/ ad.完全地；绝对地
absorb/ əb’sɔ:b/ vt.吸收；使专心
abstract/ ’æbstrækt/ n.摘要
abundant/ ə’bΛndənt/ a.丰富的；大量的
abuse/ ə’bju:z, ə’bju:s/ vt.滥用；虐待n.滥用
academic/ ækə’demik/ a.学院的；学术的
accelerate/ æk’seləreit/ vt.(使)加快；促进
access/ ‘ækses/ n.接近；通道，入口
accidental/ æksi’dentl/ a.偶然的；非本质的
accommodate/ ə’kɔmədeit/ vt.容纳；供应，供给
accommodation/ ə,kɔmə’deiʃən/ n.招待设备；预定铺位
accompany/ ə’kΛmpəni/ vt.陪伴，陪同；伴随
accomplish/ ə’kɔmpliʃ/ vt.达到(目的)；完成
accordance/ ə’kɔr:dəns/ n.一致；和谐；授予
accordingly/ ə’kɔr:diŋli/ ad.因此，所以；照着
account/ ə’kaunt/ n.记述；解释；帐目
accumulate/ ə’kju:mjuleit/ vt.积累vi.堆积
accuracy/ ‘ækjurəsi/ n.准确(性)；准确度
accurate/ ‘ækjurit/ a.准确的，正确无误的
accustomed/ ə’kΛstəmd/ a.惯常的；习惯的
acid/ ‘æsid/ n.酸；酸的，酸性的
acquaintance/ ə’kweintəns/ n.认识；了解；熟人
acquire / ə’kwaiə/ vt.取得；获得；学到
acre/ ‘eikə/ n.英亩(=6.07 亩)
adapt/ ə’dæpt/ vt.使适应；改编
addition/ ə’diʃən/ n.加，加法；附加物
additional/ ə’diʃənl/ a.附加的，追加的
address / ə’dres/ n.地址；演说；谈吐
adequate/ ‘ædikwit/ a.足够的；可以胜任的
adjust/ ə’dʒΛst/ vt.调整，调节；校正
administration / ədminis’treiʃən/ n.管理；管理部门
admission/ əd’miʃən/ n.允许进入；承认
admit/ əd’mit/ vt.承认；准许…进入
advance/ əd’va:ns/ vi.前进；提高n.进展
advanced/ əd’va:nst/ a.先进的；高级的
adventure/ əd’ventʃə/ n.冒险；惊险活动
advisable/ əd’vaizəbl/ n.明智的；可取的
affair/ ə’feə/ n.事情，事件；事务
affect/ ə’fekt/ vt.影响；感动
affection/ ə’fekʃən/ n.慈爱，爱；爱慕
afford/ ə’fɔr:d/ vt.担负得起…；提供
afterward/ ‘a:ftəwəd(z)/ ad.后来，以后
age/ eidʒ/ vt.变老
aggressive/ ə’gresiv/ a.侵略的；好斗的
aircraft/ ‘eəkra:ft/ n.飞机，飞行器
alarm/ ə’la:m/ n.惊恐，忧虑；警报
alcohol/ ‘ælkəhɔl/ n.酒精，乙醇
alike/ ə’laik/ a.同样的，相同的
alloy/ ‘ælɔi, ə’lɔi/ n.合金；(金属的)成色
alphabet/ ‘ælfəbit/ n.字母表，字母系统
alter/ ‘ɔ:ltə/ vt.改变，变更；改做
alternative/ ɔ:l’tə:nətiv/ n.替换物；取舍，抉择
altitude/ ‘æltitju:d/ n.高，高度；高处
aluminium/ ælju’minjəm/ n.铝
amaze/ ə’meiz/ vt.使惊奇，使惊愕
